District,Soil_Type,Season,Crop_Name,Avg_Temperature_C,Total_Rainfall_mm,Avg_Humidity_Percent,Sunlight_Hours_Per_Day,Yield_kg_per_hectare,Avg_Market_Price_LKR_per_kg
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Papaya,16.4,1694,81,5.6,7170,144.66
Anuradhapura,Alluvial Soils,Yala,Pumpkin,26.4,1277,72,7.8,21108,104.16
Anuradhapura,Reddish Brown Earths,Yala,Pumpkin,31.3,1115,65,7.4,18614,99.57
Mannar,Calcic Red Latosols,Yala,Tea,30.1,683,75,8.1,1753,633.86
Ampara,Alluvial Soils,Maha,Papaya,31.8,2077,80,8.0,39192,122.9
Polonnaruwa,Alluvial Soils,Yala,Cabbage,29.7,1258,66,7.2,7204,167.14
Kalutara,Red-Yellow Podzolic Soils,Maha,Big Onion,27.8,3290,92,6.1,24161,242.32
Jaffna,Regosols,Maha,Tea,32.9,781,69,9.0,269,799.02
Mullaitivu,Alluvial Soils,Yala,Big Onion,29.0,1240,71,7.5,15547,249.97
Kurunegala,Reddish Brown Earths,Maha,Papaya,27.9,2285,74,7.1,38045,127.35
Monaragala,Reddish Brown Earths,Yala,Rubber,26.9,1421,77,7.3,1265,827.88
Mullaitivu,Alluvial Soils,Yala,Pumpkin,28.6,1291,73,7.9,21443,91.98
Kegalle,Latosols,Yala,Coconut,24.9,2472,76,5.6,11525,101.46
Ampara,Reddish Brown Earths,Maha,Cabbage,32.5,1819,77,7.0,40400,150.54
Gampaha,Latosols,Maha,Beans,26.3,2559,88,7.0,20562,257.86
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Potato,13.8,1464,82,5.0,37198,181.43
Vavuniya,Reddish Brown Earths,Maha,Banana,29.9,1547,79,7.3,19208,143.91
Anuradhapura,Reddish Brown Earths,Yala,Paddy,28.5,1004,73,7.1,5599,114.5
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Pumpkin,17.4,2882,75,5.9,28221,96.9
Polonnaruwa,Alluvial Soils,Maha,Tomato,33.3,1849,65,7.2,21557,167.18
Ratnapura,Red-Yellow Podzolic Soils,Yala,Papaya,27.9,2784,90,4.9,28245,137.26
Jaffna,Calcic Red Latosols,Yala,Chili,33.3,553,73,8.7,11623,389.08
Jaffna,Regosols,Maha,Coconut,27.6,1309,78,8.5,10451,101.57
Ampara,Alluvial Soils,Yala,Big Onion,28.4,1070,78,7.2,18243,254.5
Mullaitivu,Latosols,Maha,Sweet Potato,27.7,2118,72,7.2,20437,118.84
Vavuniya,Reddish Brown Earths,Maha,Tomato,31.9,1906,76,7.0,22473,158.27
Galle,Latosols,Maha,Coconut,27.3,3236,85,5.7,18349,105.22
Matara,Red-Yellow Podzolic Soils,Yala,Banana,30.2,1733,82,6.3,12524,140.51
Gampaha,Alluvial Soils,Yala,Rubber,29.0,1726,87,6.4,1552,748.79
Puttalam,Calcic Red Latosols,Maha,Big Onion,28.0,1589,77,7.1,35523,219.7
Polonnaruwa,Reddish Brown Earths,Yala,Tea,33.9,1276,70,7.1,250,907.57
Nuwara Eliya,Latosols,Yala,Papaya,12.1,1733,81,4.8,7715,151.58
Monaragala,Reddish Brown Earths,Yala,Maize,27.3,1169,65,6.5,6723,129.61
Trincomalee,Reddish Brown Earths,Maha,Tea,30.6,1926,74,7.7,2075,751.73
Badulla,Red-Yellow Podzolic Soils,Yala,Cabbage,21.9,1473,76,6.2,45688,143.25
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Chili,14.7,1904,82,4.8,2802,452.54
Matara,Alluvial Soils,Yala,Brinjal,30.9,1816,83,5.5,18335,161.78
Gampaha,Alluvial Soils,Yala,Paddy,26.8,1706,89,7.0,5870,111.59
Matale,Reddish Brown Earths,Maha,Big Onion,26.1,1916,68,6.8,32823,258.77
Matale,Reddish Brown Earths,Yala,Papaya,29.1,1460,77,7.0,33591,138.67
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Chili,12.4,2949,84,5.5,3372,488.33
Polonnaruwa,Reddish Brown Earths,Yala,Brinjal,32.8,1296,66,7.4,14434,168.37
Colombo,Latosols,Yala,Cabbage,30.3,1982,77,6.0,14080,175.29
Nuwara Eliya,Latosols,Yala,Banana,16.8,1880,76,6.0,13197,156.58
Kilinochchi,Reddish Brown Earths,Yala,Tomato,33.3,901,68,7.3,16995,146.36
Vavuniya,Reddish Brown Earths,Maha,Cabbage,26.1,1623,69,7.2,39122,143.34
Mullaitivu,Latosols,Yala,Pumpkin,26.3,1254,72,8.0,22268,103.24
Matale,Reddish Brown Earths,Maha,Coconut,23.0,1886,78,6.3,11405,96.13
Trincomalee,Reddish Brown Earths,Yala,Banana,32.0,1227,70,8.0,14500,160.08
Anuradhapura,Alluvial Soils,Maha,Paddy,31.2,2002,69,7.3,6776,111.59
Kandy,Reddish Brown Earths,Maha,Paddy,24.5,2184,70,5.6,5380,124.09
Ampara,Alluvial Soils,Yala,Sweet Potato,31.8,1069,69,7.5,15724,109.02
Kilinochchi,Reddish Brown Earths,Maha,Banana,27.7,1545,79,7.2,17465,149.17
Puttalam,Regosols,Maha,Papaya,27.7,1392,76,7.1,39322,122.01
Colombo,Red-Yellow Podzolic Soils,Yala,Pumpkin,27.2,1834,83,6.1,30692,97.09
Kandy,Red-Yellow Podzolic Soils,Yala,Mango,22.1,1715,72,5.6,10031,313.4
Batticaloa,Regosols,Maha,Brinjal,31.3,2006,74,7.7,19836,175.84
Anuradhapura,Reddish Brown Earths,Maha,Potato,28.7,1742,63,7.1,7185,225.28
Vavuniya,Reddish Brown Earths,Yala,Brinjal,27.5,1182,72,6.6,12490,154.56
Jaffna,Regosols,Maha,Manioc,27.7,1269,71,8.4,28105,96.68
Kilinochchi,Reddish Brown Earths,Yala,Big Onion,29.9,1081,71,8.0,26035,223.25
Kurunegala,Reddish Brown Earths,Maha,Potato,29.3,2268,74,6.4,25484,201.52
Kalutara,Red-Yellow Podzolic Soils,Yala,Beans,26.4,2213,90,5.3,15166,250.5
Matale,Reddish Brown Earths,Maha,Manioc,29.0,1867,66,6.8,25940,95.41
Jaffna,Regosols,Maha,Big Onion,27.9,1230,78,8.5,44856,253.74
Kegalle,Red-Yellow Podzolic Soils,Yala,Maize,30.9,2417,76,5.6,3877,142.77
Polonnaruwa,Alluvial Soils,Maha,Tea,26.3,2125,65,7.0,303,798.4
Anuradhapura,Reddish Brown Earths,Maha,Potato,31.0,1747,70,8.3,7494,231.14
Monaragala,Reddish Brown Earths,Yala,Beans,29.7,1324,76,7.3,11823,257.4
Kurunegala,Reddish Brown Earths,Maha,Coconut,28.9,2118,73,6.0,20494,92.05
Kandy,Reddish Brown Earths,Yala,Sweet Potato,25.5,1534,82,6.2,14949,112.48
Hambantota,Alluvial Soils,Maha,Big Onion,31.4,1289,78,7.7,35684,247.99
Mannar,Regosols,Yala,Carrot,32.8,883,77,8.9,21721,193.75
Trincomalee,Alluvial Soils,Yala,Rubber,32.0,1286,70,8.1,1119,795.12
Gampaha,Alluvial Soils,Maha,Manioc,28.2,2444,78,6.4,42281,84.44
Jaffna,Regosols,Maha,Banana,29.6,1117,73,8.3,19713,138.37
Monaragala,Reddish Brown Earths,Maha,Cabbage,26.0,1804,76,7.0,37715,161.64
Kurunegala,Reddish Brown Earths,Maha,Cabbage,26.9,2196,84,7.2,36670,164.82
Badulla,Red-Yellow Podzolic Soils,Yala,Coconut,23.4,1544,74,5.1,3268,124.2
Kandy,Red-Yellow Podzolic Soils,Yala,Cabbage,21.8,1763,83,5.9,25268,138.93
Colombo,Latosols,Maha,Brinjal,29.0,2723,79,5.9,30138,156.03
Kalutara,Red-Yellow Podzolic Soils,Maha,Big Onion,30.7,3400,86,6.1,22008,247.9
Ratnapura,Red-Yellow Podzolic Soils,Yala,Potato,29.6,3582,84,5.0,20055,184.03
Trincomalee,Reddish Brown Earths,Maha,Beans,28.8,1591,74,8.0,18170,249.98
Kilinochchi,Reddish Brown Earths,Yala,Maize,32.7,857,66,7.9,4332,149.07
Polonnaruwa,Alluvial Soils,Yala,Mango,30.1,1280,67,6.6,16481,327.28
Trincomalee,Alluvial Soils,Maha,Tomato,30.2,1451,66,7.6,23332,144.66
Colombo,Red-Yellow Podzolic Soils,Yala,Pumpkin,29.8,1681,76,6.3,32861,103.19
Puttalam,Calcic Red Latosols,Maha,Potato,31.6,1545,84,7.0,28764,195.33
Jaffna,Regosols,Yala,Pumpkin,34.7,888,65,8.9,21225,94.48
Ratnapura,Red-Yellow Podzolic Soils,Yala,Paddy,25.4,3226,85,4.7,3179,112.24
Puttalam,Calcic Red Latosols,Yala,Manioc,31.0,873,77,7.7,19833,84.15
Jaffna,Regosols,Yala,Papaya,29.3,757,77,8.5,28279,135.64
Mannar,Calcic Red Latosols,Yala,Coconut,31.4,770,75,8.8,10549,97.31
Kegalle,Red-Yellow Podzolic Soils,Maha,Tomato,25.4,3841,78,5.4,23100,174.04
Colombo,Red-Yellow Podzolic Soils,Yala,Papaya,27.4,1770,84,5.9,49557,142.48
Kalutara,Red-Yellow Podzolic Soils,Yala,Brinjal,30.2,2209,85,5.2,17154,161.59
Kurunegala,Alluvial Soils,Maha,Banana,32.1,2023,83,6.3,29630,139.35
Matale,Reddish Brown Earths,Maha,Mango,27.6,1806,67,7.5,13460,316.88
Ampara,Alluvial Soils,Yala,Tea,27.2,1170,72,8.3,1854,744.39
Puttalam,Regosols,Yala,Coconut,27.1,949,75,7.2,12359,95.65
Hambantota,Reddish Brown Earths,Maha,Brinjal,31.1,1166,76,8.1,16607,156.44
Batticaloa,Alluvial Soils,Maha,Mango,29.6,1892,75,7.1,15049,294.54
Ampara,Alluvial Soils,Yala,Papaya,31.2,1211,74,8.0,28978,138.46
Galle,Latosols,Yala,Mango,28.0,2133,91,5.0,9285,310.92
Anuradhapura,Reddish Brown Earths,Yala,Paddy,30.5,1011,66,8.1,5438,108.01
Kurunegala,Reddish Brown Earths,Maha,Pumpkin,32.0,2126,84,6.6,29871,102.25
Kilinochchi,Reddish Brown Earths,Yala,Potato,27.4,1183,75,7.4,21540,210.78
Galle,Latosols,Yala,Tomato,26.3,1887,90,6.0,15659,159.65
Kurunegala,Reddish Brown Earths,Yala,Tomato,32.4,1538,70,6.4,18163,170.95
Kurunegala,Alluvial Soils,Maha,Pumpkin,29.1,2128,81,6.4,30148,98.79
Vavuniya,Reddish Brown Earths,Maha,Pumpkin,31.8,1810,73,7.7,28426,107.98
Hambantota,Reddish Brown Earths,Yala,Sweet Potato,29.9,754,71,7.1,15475,103.82
Hambantota,Reddish Brown Earths,Maha,Manioc,31.9,1415,66,8.2,39410,96.54
Kurunegala,Alluvial Soils,Yala,Pumpkin,31.5,1470,84,6.1,19682,109.82
Kalutara,Red-Yellow Podzolic Soils,Maha,Sweet Potato,30.9,3855,93,6.2,20904,120.38
Mullaitivu,Alluvial Soils,Maha,Carrot,29.6,1744,74,7.4,34454,176.52
Hambantota,Reddish Brown Earths,Maha,Coconut,31.0,1204,74,7.0,11920,95.55
Ratnapura,Red-Yellow Podzolic Soils,Maha,Cabbage,23.0,4414,82,5.6,33856,162.63
Batticaloa,Regosols,Maha,Big Onion,26.1,2099,81,7.9,23160,222.28
Batticaloa,Alluvial Soils,Maha,Papaya,29.4,2166,73,8.0,37685,126.78
Kalutara,Red-Yellow Podzolic Soils,Maha,Banana,26.8,3967,80,5.4,27635,151.68
Trincomalee,Alluvial Soils,Maha,Beans,33.8,1959,74,7.2,14938,227.64
Matara,Alluvial Soils,Maha,Banana,28.6,2629,86,5.6,19632,160.98
Kilinochchi,Reddish Brown Earths,Yala,Manioc,26.7,1117,73,7.3,29131,96.7
Kandy,Red-Yellow Podzolic Soils,Maha,Rubber,24.3,2268,73,6.1,1690,772.47
Kurunegala,Reddish Brown Earths,Yala,Potato,28.6,1492,78,7.2,18598,189.95
Polonnaruwa,Reddish Brown Earths,Yala,Maize,29.4,1354,74,7.9,6034,128.18
Matara,Red-Yellow Podzolic Soils,Maha,Cabbage,27.2,2924,81,6.8,14548,166.47
Gampaha,Alluvial Soils,Maha,Paddy,29.7,2884,86,6.3,7534,128.03
Kalutara,Red-Yellow Podzolic Soils,Yala,Papaya,26.4,2208,90,6.4,44253,120.27
Kilinochchi,Reddish Brown Earths,Yala,Maize,29.3,993,79,7.9,4237,132.3
Mullaitivu,Latosols,Yala,Chili,32.9,1151,79,6.7,6749,423.3
Kalutara,Red-Yellow Podzolic Soils,Yala,Manioc,28.2,2408,93,5.9,20131,83.22
Kurunegala,Reddish Brown Earths,Maha,Cabbage,28.9,2219,74,6.7,38127,147.47
Mullaitivu,Alluvial Soils,Maha,Coconut,30.8,1634,81,7.1,12736,106.0
Ratnapura,Red-Yellow Podzolic Soils,Yala,Tea,29.5,2639,81,4.9,2943,764.11
Gampaha,Alluvial Soils,Maha,Brinjal,26.9,2818,76,6.7,26533,160.9
Matara,Alluvial Soils,Maha,Tea,26.4,2413,75,5.7,2907,640.99
Badulla,Red-Yellow Podzolic Soils,Yala,Chili,23.7,1551,84,5.6,6924,365.9
Monaragala,Reddish Brown Earths,Maha,Rubber,30.9,1787,65,7.8,1711,874.79
Kalutara,Red-Yellow Podzolic Soils,Maha,Beans,30.4,3020,85,6.2,22314,244.21
Matara,Red-Yellow Podzolic Soils,Yala,Potato,29.3,1765,78,5.7,7916,256.4
Matale,Reddish Brown Earths,Yala,Rubber,22.9,1317,74,6.7,1247,868.77
Jaffna,Calcic Red Latosols,Maha,Rubber,27.8,1260,70,7.9,205,1014.12
Kalutara,Red-Yellow Podzolic Soils,Maha,Big Onion,29.4,3637,86,6.4,25187,233.34
Vavuniya,Reddish Brown Earths,Maha,Rubber,27.5,1666,71,7.0,1574,841.14
Hambantota,Reddish Brown Earths,Yala,Chili,32.8,774,66,7.7,10216,409.52
Monaragala,Reddish Brown Earths,Maha,Cabbage,28.3,1742,76,7.2,40396,136.66
Badulla,Red-Yellow Podzolic Soils,Maha,Sweet Potato,23.5,2206,78,5.4,18854,119.91
Polonnaruwa,Alluvial Soils,Yala,Banana,28.7,1302,67,7.0,22017,158.5
Kegalle,Latosols,Maha,Manioc,24.3,3619,75,5.5,25431,91.68
Polonnaruwa,Alluvial Soils,Maha,Big Onion,26.6,2151,78,8.0,22875,234.66
Mannar,Regosols,Yala,Maize,33.6,697,84,8.8,3910,148.19
Vavuniya,Reddish Brown Earths,Maha,Pumpkin,26.7,1670,76,6.9,29290,94.82
Gampaha,Alluvial Soils,Yala,Manioc,30.6,1927,77,6.3,27519,93.13
Polonnaruwa,Reddish Brown Earths,Yala,Big Onion,30.3,1326,78,7.4,17030,239.18
Mannar,Regosols,Yala,Pumpkin,33.8,966,78,8.8,18374,90.21
Kegalle,Latosols,Yala,Tea,29.8,2766,76,5.1,2430,675.57
Anuradhapura,Alluvial Soils,Maha,Maize,28.7,1715,65,7.1,8807,136.45
Galle,Latosols,Yala,Maize,26.8,2142,91,5.4,3733,145.08
Mullaitivu,Latosols,Maha,Coconut,31.7,2154,70,6.7,13527,100.4
Monaragala,Reddish Brown Earths,Maha,Coconut,30.7,1752,78,6.6,11648,95.83
Batticaloa,Alluvial Soils,Yala,Chili,28.0,1403,71,7.5,7102,401.8
Mannar,Regosols,Yala,Banana,30.7,800,82,8.2,14164,139.5
Mannar,Regosols,Maha,Manioc,28.8,1084,72,7.8,23302,84.79
Anuradhapura,Reddish Brown Earths,Maha,Papaya,31.3,1966,62,7.2,44761,140.17
Mullaitivu,Latosols,Maha,Beans,32.0,1956,75,6.7,17262,265.18
Matale,Reddish Brown Earths,Yala,Chili,24.4,1482,67,6.4,7357,363.41
Batticaloa,Regosols,Maha,Chili,31.7,1730,84,7.8,9895,423.97
Vavuniya,Reddish Brown Earths,Maha,Sweet Potato,32.1,1646,78,6.6,28781,100.02
Kegalle,Latosols,Maha,Coconut,30.2,3813,78,5.6,16499,105.0
Kalutara,Red-Yellow Podzolic Soils,Yala,Tea,29.6,2096,88,5.8,2543,635.89
Kurunegala,Reddish Brown Earths,Maha,Maize,32.4,2065,84,7.4,7309,150.68
Hambantota,Alluvial Soils,Maha,Paddy,32.1,1321,68,7.6,7388,117.04
Galle,Red-Yellow Podzolic Soils,Yala,Cabbage,26.2,1962,79,5.8,10859,169.63
Nuwara Eliya,Latosols,Yala,Mango,13.4,1988,85,4.6,1500,366.5
Monaragala,Reddish Brown Earths,Yala,Tomato,31.4,1071,77,7.8,15346,161.69
Monaragala,Reddish Brown Earths,Yala,Rubber,27.7,1185,75,7.0,1130,853.5
Colombo,Red-Yellow Podzolic Soils,Yala,Maize,30.0,1796,87,6.1,4276,152.22
Kilinochchi,Reddish Brown Earths,Yala,Chili,26.9,939,67,7.9,10135,374.03
Kilinochchi,Reddish Brown Earths,Maha,Papaya,26.5,1764,65,7.8,38936,142.74
Ratnapura,Red-Yellow Podzolic Soils,Yala,Maize,23.0,3377,88,5.3,4137,150.97
Monaragala,Reddish Brown Earths,Maha,Banana,25.9,1763,70,7.0,23737,146.32
Ampara,Reddish Brown Earths,Yala,Rubber,29.6,1322,76,7.3,1255,802.15
Matale,Reddish Brown Earths,Yala,Mango,25.1,1480,78,6.1,10855,302.4
Badulla,Red-Yellow Podzolic Soils,Yala,Rubber,19.5,1292,82,5.7,1225,858.43
Colombo,Latosols,Maha,Big Onion,29.0,2432,79,6.7,22767,219.44
Hambantota,Alluvial Soils,Yala,Potato,31.8,854,76,8.4,5171,234.05
Trincomalee,Alluvial Soils,Yala,Maize,33.8,1098,79,7.4,3983,136.46
Trincomalee,Reddish Brown Earths,Maha,Beans,31.0,1673,76,8.2,16716,227.52
Kalutara,Red-Yellow Podzolic Soils,Yala,Rubber,27.7,2333,84,5.3,2264,788.63
Jaffna,Calcic Red Latosols,Yala,Potato,29.1,905,70,7.7,3000,232.45
Matara,Alluvial Soils,Yala,Paddy,29.1,1857,76,6.9,4935,112.2
Mannar,Calcic Red Latosols,Yala,Rubber,29.4,721,83,9.0,1139,860.34
Kegalle,Red-Yellow Podzolic Soils,Maha,Papaya,24.2,3881,75,5.5,44285,135.48
Matara,Red-Yellow Podzolic Soils,Yala,Paddy,30.5,1670,76,6.2,5310,121.27
Nuwara Eliya,Latosols,Yala,Brinjal,17.8,1848,81,4.7,14382,165.56
Matale,Reddish Brown Earths,Yala,Banana,25.1,1528,65,7.3,14540,138.21
Mannar,Calcic Red Latosols,Maha,Manioc,28.0,1000,71,8.2,24565,84.19
Polonnaruwa,Alluvial Soils,Maha,Coconut,26.7,2144,77,7.8,12036,93.97
Jaffna,Calcic Red Latosols,Yala,Banana,29.9,804,78,7.9,13143,161.39
Mullaitivu,Alluvial Soils,Maha,Mango,27.3,1588,74,6.7,13902,296.62
Nuwara Eliya,Latosols,Maha,Carrot,13.1,2493,79,5.9,67177,184.48
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Maize,12.7,2880,82,5.1,5325,137.41
Monaragala,Reddish Brown Earths,Yala,Paddy,31.7,1262,74,6.9,4707,132.0
Mullaitivu,Latosols,Maha,Coconut,31.4,1669,76,7.1,11342,104.19
Matale,Reddish Brown Earths,Yala,Carrot,27.6,1422,75,7.4,25185,197.52
Kilinochchi,Reddish Brown Earths,Maha,Beans,31.8,1559,72,7.4,15096,231.2
Badulla,Red-Yellow Podzolic Soils,Yala,Big Onion,18.5,1521,71,6.5,16628,227.52
Anuradhapura,Alluvial Soils,Yala,Big Onion,28.8,1344,68,8.4,27712,221.24
Jaffna,Regosols,Maha,Chili,27.9,1324,73,8.0,16062,398.69
Trincomalee,Reddish Brown Earths,Maha,Rubber,31.1,1636,73,7.4,1636,840.36
Polonnaruwa,Alluvial Soils,Maha,Big Onion,27.8,1995,71,7.9,22198,261.12
Gampaha,Alluvial Soils,Yala,Big Onion,28.8,1795,89,6.4,17421,245.07
Hambantota,Alluvial Soils,Yala,Tomato,32.7,919,77,8.3,17846,172.25
Galle,Red-Yellow Podzolic Soils,Yala,Papaya,29.5,2101,87,6.3,33637,129.71
Hambantota,Reddish Brown Earths,Maha,Chili,28.0,1211,65,8.4,12443,383.91
Badulla,Red-Yellow Podzolic Soils,Yala,Brinjal,22.1,1652,72,6.5,14850,179.16
Colombo,Red-Yellow Podzolic Soils,Yala,Carrot,28.6,1781,88,6.4,8523,224.88
Colombo,Latosols,Maha,Banana,28.1,2884,86,5.7,31482,144.44
Kilinochchi,Reddish Brown Earths,Yala,Manioc,31.9,970,76,7.2,26210,84.02
Mullaitivu,Latosols,Maha,Big Onion,30.4,1695,80,6.8,23288,261.19
Gampaha,Alluvial Soils,Maha,Papaya,27.4,2844,84,6.9,38124,136.79
Hambantota,Reddish Brown Earths,Yala,Papaya,31.8,810,68,7.8,30928,130.37
Vavuniya,Reddish Brown Earths,Yala,Paddy,30.8,1023,74,7.6,4483,125.26
Polonnaruwa,Reddish Brown Earths,Maha,Tea,30.5,1787,72,7.6,284,867.88
Monaragala,Reddish Brown Earths,Maha,Big Onion,31.9,1809,73,7.8,23873,244.65
Matale,Reddish Brown Earths,Maha,Carrot,24.8,1813,71,6.1,32892,180.61
Kilinochchi,Reddish Brown Earths,Maha,Maize,33.7,1353,66,7.4,5631,128.95
Kandy,Red-Yellow Podzolic Soils,Yala,Papaya,27.6,1595,84,5.7,31171,122.6
Mullaitivu,Alluvial Soils,Maha,Banana,30.6,1753,80,7.8,17992,147.55
Hambantota,Reddish Brown Earths,Yala,Rubber,32.9,829,69,7.3,1292,781.23
Puttalam,Calcic Red Latosols,Yala,Big Onion,27.7,733,79,7.9,23982,225.04
Ampara,Reddish Brown Earths,Yala,Pumpkin,32.1,1113,72,7.8,21477,106.12
Galle,Latosols,Maha,Rubber,27.6,3171,81,5.4,2799,809.16
Anuradhapura,Alluvial Soils,Yala,Tea,30.9,1199,70,7.7,250,875.69
Kilinochchi,Reddish Brown Earths,Yala,Coconut,30.5,1100,70,7.3,8509,107.4
Polonnaruwa,Alluvial Soils,Yala,Tomato,31.7,1171,78,6.9,17296,164.58
Ampara,Reddish Brown Earths,Maha,Sweet Potato,28.8,1824,69,7.3,20633,116.83
Puttalam,Regosols,Yala,Beans,28.9,829,76,7.7,11656,232.81
Kilinochchi,Reddish Brown Earths,Yala,Sweet Potato,30.8,870,79,7.2,14412,108.76
Vavuniya,Reddish Brown Earths,Maha,Chili,29.2,1534,65,7.2,13417,397.09
Jaffna,Regosols,Maha,Paddy,30.9,764,66,8.9,4315,123.42
Trincomalee,Alluvial Soils,Maha,Coconut,30.3,1691,69,7.3,13980,93.46
Nuwara Eliya,Red-Yellow Podzolic Soils,Maha,Sweet Potato,15.1,2248,83,5.4,18357,101.65
Puttalam,Regosols,Yala,Tea,27.5,813,77,7.4,1552,699.54
Galle,Red-Yellow Podzolic Soils,Yala,Manioc,29.3,1826,83,6.2,18718,90.37
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Mango,16.8,1924,77,4.9,1500,345.76
Kalutara,Red-Yellow Podzolic Soils,Maha,Cabbage,30.8,3238,85,5.3,38757,150.48
Mullaitivu,Latosols,Maha,Tea,26.9,2023,81,7.0,2114,726.24
Mullaitivu,Alluvial Soils,Yala,Brinjal,30.5,1344,75,7.0,14421,185.38
Mullaitivu,Latosols,Maha,Tea,29.2,1746,76,6.7,2527,682.39
Matale,Reddish Brown Earths,Maha,Tea,22.9,2003,65,6.3,2411,694.34
Kegalle,Latosols,Maha,Cabbage,28.5,3485,88,5.9,39162,155.39
Mullaitivu,Latosols,Yala,Sweet Potato,26.2,1162,82,7.8,16405,114.51
Ratnapura,Red-Yellow Podzolic Soils,Yala,Cabbage,28.9,3405,83,5.4,27930,150.44
Anuradhapura,Reddish Brown Earths,Maha,Carrot,26.8,1818,61,7.3,8275,232.62
Matale,Reddish Brown Earths,Maha,Pumpkin,29.5,2387,66,6.9,28587,102.4
Monaragala,Reddish Brown Earths,Maha,Tomato,30.3,1787,68,6.9,24752,150.51
Vavuniya,Reddish Brown Earths,Maha,Pumpkin,27.7,1862,70,6.9,29936,96.95
Kalutara,Red-Yellow Podzolic Soils,Yala,Pumpkin,27.3,2497,80,5.7,20663,90.72
Badulla,Red-Yellow Podzolic Soils,Maha,Papaya,24.9,2339,71,5.3,38816,118.46
Gampaha,Latosols,Yala,Papaya,30.0,1931,85,6.2,28716,142.02
Batticaloa,Alluvial Soils,Yala,Sweet Potato,30.8,1251,79,7.6,18809,109.55
Kilinochchi,Reddish Brown Earths,Yala,Pumpkin,26.2,901,65,7.9,20647,106.49
Mullaitivu,Latosols,Yala,Mango,30.4,1164,77,7.3,10086,303.71
Badulla,Red-Yellow Podzolic Soils,Yala,Pumpkin,21.8,1644,82,5.1,18653,97.22
